sample_id	sample_present	seq_lab_id	genome_fraction_20x	enough_coverage	freyja_demix_status	freyja_num_variants	freyja_num_unique_freqs	sample_status
20230214NY071026310B	no_metadata	nymc	NA	NA	NA	NA	NA	no_metadata
20230809NY033029939A	no_metadata	suny_upstate	NA	NA	NA	NA	NA	no_metadata
20230202NY071026310B	no_metadata	wadsworth	NA	NA	NA	NA	NA	no_metadata
20230830NY071026310B	no_metadata	nymc	NA	NA	NA	NA	NA	no_metadata
20220915NY077031151A	no_metadata	wadsworth	NA	NA	NA	NA	NA	no_metadata
20230420NY073028401A	no_metadata	suny_buffalo	NA	NA	NA	NA	NA	no_metadata
20230516NY021022039A	no_metadata	wadsworth	NA	NA	NA	NA	NA	no_metadata
20230228NY073021873A	no_metadata	suny_buffalo	NA	NA	NA	NA	NA	no_metadata
20221102NY109026638A	no_metadata	wadsworth	NA	NA	NA	NA	NA	no_metadata
20230427NY065025780C	no_metadata	wadsworth	NA	NA	NA	NA	NA	no_metadata
20230824NY007024414B	no_metadata	u_of_rochester	NA	NA	NA	NA	NA	no_metadata
20220914NY109026638A	no_metadata	wadsworth	NA	NA	NA	NA	NA	no_metadata
20230103NY043020486A	no_metadata	wadsworth	NA	NA	NA	NA	NA	no_metadata
20230223NY083087971A	no_metadata	wadsworth	NA	NA	NA	NA	NA	no_metadata
20230614NY055028339A	no_metadata	u_of_rochester	NA	NA	NA	NA	NA	no_metadata
20221031NY019026018A	no_metadata	wadsworth	NA	NA	NA	NA	NA	no_metadata
20230803NY101025721A	no_metadata	suny_buffalo	NA	NA	NA	NA	NA	no_metadata
20230607NY071026310B	no_metadata	nymc	NA	NA	NA	NA	NA	no_metadata
20230620NY029022543A	no_metadata	suny_buffalo	NA	NA	NA	NA	NA	no_metadata
20230105NY071026310B	no_metadata	wadsworth	NA	NA	NA	NA	NA	no_metadata
20221030NY119026689A	no_metadata	wadsworth	NA	NA	NA	NA	NA	no_metadata
20230412NY071026522A	no_metadata	nymc	NA	NA	NA	NA	NA	no_metadata
20230814NY001026875C	no_metadata	wadsworth	NA	NA	NA	NA	NA	no_metadata
20230626NY001026875C	no_metadata	wadsworth	NA	NA	NA	NA	NA	no_metadata
20220915NY025029271A	no_metadata	wadsworth	NA	NA	NA	NA	NA	no_metadata
20230516NY001025739A	no_metadata	wadsworth	NA	NA	NA	NA	NA	no_metadata
20230612NY055028339A	no_metadata	u_of_rochester	NA	NA	NA	NA	NA	no_metadata
20230430NY103020061A	no_metadata	wadsworth	NA	NA	NA	NA	NA	no_metadata
20230228NY037030546A	no_metadata	suny_buffalo	NA	NA	NA	NA	NA	no_metadata
20230227NY001026875C	no_metadata	wadsworth	NA	NA	NA	NA	NA	no_metadata
20230427NY093020516A	no_metadata	wadsworth	NA	NA	NA	NA	NA	no_metadata
20230516NY033029939A	no_metadata	wadsworth	NA	NA	NA	NA	NA	no_metadata
20220915NY039020389A	no_metadata	wadsworth	NA	NA	NA	NA	NA	no_metadata
20230516NY057020290A	no_metadata	wadsworth	NA	NA	NA	NA	NA	no_metadata
20230515NY001026875C	no_metadata	wadsworth	NA	NA	NA	NA	NA	no_metadata
20230503NY075029106A	no_metadata	suny_upstate	NA	NA	NA	NA	NA	no_metadata
20230531NY071026310B	no_metadata	nymc	NA	NA	NA	NA	NA	no_metadata
20230709NY067027081A	no_metadata	suny_upstate	NA	NA	NA	NA	NA	no_metadata
20230522NY001026875C	no_metadata	wadsworth	NA	NA	NA	NA	NA	no_metadata
20221031NY027026255A	no_metadata	wadsworth	NA	NA	NA	NA	NA	no_metadata
20220913NY117029475A	no_metadata	wadsworth	NA	NA	NA	NA	NA	no_metadata
20230104NY027149209A	no_metadata	nymc	NA	NA	NA	NA	NA	no_metadata
20230418NY073021873A	no_metadata	suny_buffalo	NA	NA	NA	NA	NA	no_metadata
20230727NY101025721A	no_metadata	suny_buffalo	NA	NA	NA	NA	NA	no_metadata
20230516NY027149209A	no_metadata	nymc	NA	NA	NA	NA	NA	no_metadata
20220913NY069025968A	no_metadata	wadsworth	NA	NA	NA	NA	NA	no_metadata
20230403NY001026875C	no_metadata	u_of_rochester	NA	NA	NA	NA	NA	no_metadata
20230418NY037030546A	no_metadata	suny_buffalo	NA	NA	NA	NA	NA	no_metadata
20230313NY001026875C	no_metadata	wadsworth	NA	NA	NA	NA	NA	no_metadata
20221031NY113029050A	no_metadata	wadsworth	NA	NA	NA	NA	NA	no_metadata
20230103NY059026450A	no_metadata	wadsworth	NA	NA	NA	NA	NA	no_metadata
20230717NY001026875C	no_metadata	wadsworth	NA	NA	NA	NA	NA	no_metadata
20230427NY113029050A	no_metadata	wadsworth	NA	NA	NA	NA	NA	no_metadata
20230705NY119026701A	no_metadata	nymc	NA	NA	NA	NA	NA	no_metadata
